timestamp,side,price,size,reason
2020-04-14,BUY,283.79,1,break_up
2020-05-13,SELL,281.6,1,below_ma
2020-05-18,BUY,295.0,1,break_up
2020-06-24,SELL,304.09,1,below_ma
2020-07-06,BUY,317.05,1,break_up
2020-09-08,SELL,333.21,1,below_ma
2020-10-08,BUY,343.78,1,break_up
2020-10-27,SELL,338.22,1,below_ma
2020-11-05,BUY,350.24,1,break_up
2021-01-27,SELL,374.41,1,below_ma
2021-02-04,BUY,386.19,1,break_up
2021-02-25,SELL,382.33,1,below_ma
2021-03-11,BUY,393.53,1,break_up
2021-03-24,SELL,387.52,1,below_ma
2021-03-26,BUY,395.98,1,break_up
2021-05-11,SELL,414.21,1,below_ma
2021-06-04,BUY,422.6,1,break_up
2021-06-18,SELL,414.92,1,below_ma
2021-06-24,BUY,425.1,1,break_up
2021-07-19,SELL,424.97,1,below_ma
2021-07-23,BUY,439.94,1,break_up
2021-09-10,SELL,445.44,1,below_ma
2021-10-15,BUY,445.87,1,break_up
2021-11-26,SELL,458.97,1,below_ma
2021-12-23,BUY,470.6,1,break_up
2022-01-07,SELL,466.09,1,below_ma
2022-03-18,BUY,444.52,1,break_up
2022-04-11,SELL,439.92,1,below_ma
2022-07-19,BUY,392.27,1,break_up
2022-08-26,SELL,405.31,1,below_ma
2022-10-24,BUY,378.87,1,break_up
2022-11-03,SELL,371.01,1,below_ma
2022-11-10,BUY,394.69,1,break_up
2022-12-09,SELL,393.28,1,below_ma
