timestamp,side,price,size,reason
2020-02-05,BUY,332.86,1,break_up
2020-02-24,SELL,322.42,1,below_ma
2020-04-06,BUY,264.86,1,break_up
2020-05-13,SELL,281.6,1,below_ma
2020-05-18,BUY,295.0,1,break_up
2020-06-11,SELL,300.61,1,below_ma
2020-07-02,BUY,312.23,1,break_up
2020-09-04,SELL,342.57,1,below_ma
2020-10-05,BUY,339.76,1,break_up
2020-10-19,SELL,342.01,1,below_ma
2020-11-05,BUY,350.24,1,break_up
2020-12-14,SELL,364.66,1,below_ma
2020-12-15,BUY,369.59,1,break_up
2021-01-04,SELL,368.79,1,below_ma
2021-01-06,BUY,373.55,1,break_up
2021-01-27,SELL,374.41,1,below_ma
2021-02-04,BUY,386.19,1,break_up
2021-02-22,SELL,387.03,1,below_ma
2021-03-11,BUY,393.53,1,break_up
2021-03-24,SELL,387.52,1,below_ma
2021-03-26,BUY,395.98,1,break_up
2021-05-04,SELL,415.62,1,below_ma
2021-05-06,BUY,419.07,1,break_up
2021-05-17,SELL,415.52,1,below_ma
2021-05-24,BUY,419.17,1,break_up
2021-06-18,SELL,414.92,1,below_ma
2021-06-24,BUY,425.1,1,break_up
2021-07-16,SELL,431.34,1,below_ma
2021-07-23,BUY,439.94,1,break_up
2021-08-18,SELL,439.18,1,below_ma
2021-08-23,BUY,447.26,1,break_up
2021-09-09,SELL,448.98,1,below_ma
2021-10-14,BUY,442.5,1,break_up
2021-11-26,SELL,458.97,1,below_ma
2021-12-10,BUY,470.74,1,break_up
