id,origin,program,ok,name,fitness,trainR,trainSharpe,trainMDD,testR,testSharpe,testMDD,elapsed_sec,error
1,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.061,"few trades/exposure (trades=42, exp=0.48)"
2,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=42, exp=0.48)"
3,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=42, exp=0.48)"
4,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":4}",False,BBreak_n25_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=38, exp=0.47)"
5,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=42, exp=0.48)"
6,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":4}",False,BBreak_n25_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=38, exp=0.47)"
7,seed,"{""type"":""BBreak"",""n"":40,""k"":1.56,""h"":3}",False,BBreak_n40_k1.56_h3,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=28, exp=0.44)"
8,seed,"{""type"":""BBreak"",""n"":34,""k"":1.56,""h"":5}",False,BBreak_n34_k1.56_h5,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=30, exp=0.46)"
9,seed,"{""type"":""BBreak"",""n"":24,""k"":1.56,""h"":3}",False,BBreak_n24_k1.56_h3,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=36, exp=0.46)"
10,seed,"{""type"":""BBreak"",""n"":30,""k"":1.50,""h"":4}",False,BBreak_n30_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=30, exp=0.47)"
11,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":4}",False,BBreak_n25_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=38, exp=0.47)"
12,seed,"{""type"":""BBreak"",""n"":42,""k"":1.89,""h"":3}",False,BBreak_n42_k1.89_h3,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=22, exp=0.36)"
13,seed,"{""type"":""BBreak"",""n"":34,""k"":1.56,""h"":3}",False,BBreak_n34_k1.56_h3,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=30, exp=0.46)"
14,seed,"{""type"":""BBreak"",""n"":24,""k"":1.75,""h"":3}",False,BBreak_n24_k1.75_h3,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=34, exp=0.44)"
15,seed,"{""type"":""BBreak"",""n"":24,""k"":1.50,""h"":3}",False,BBreak_n24_k1.5_h3,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=38, exp=0.46)"
16,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=42, exp=0.48)"
17,seed,"{""type"":""BBreak"",""n"":34,""k"":1.95,""h"":5}",False,BBreak_n34_k1.95_h5,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=24, exp=0.29)"
18,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":4}",False,BBreak_n25_k1.5_h4,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=38, exp=0.47)"
19,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=42, exp=0.48)"
20,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=42, exp=0.48)"
21,seed,"{""type"":""BBreak"",""n"":24,""k"":1.50,""h"":3}",False,BBreak_n24_k1.5_h3,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=38, exp=0.46)"
22,seed,"{""type"":""BBreak"",""n"":24,""k"":1.50,""h"":3}",False,BBreak_n24_k1.5_h3,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=38, exp=0.46)"
23,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":4}",False,BBreak_n25_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=38, exp=0.47)"
24,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":3}",False,BBreak_n20_k1.5_h3,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=42, exp=0.48)"
25,seed,"{""type"":""BBreak"",""n"":34,""k"":1.56,""h"":3}",False,BBreak_n34_k1.56_h3,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=30, exp=0.46)"
26,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=42, exp=0.48)"
27,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=42, exp=0.48)"
28,seed,"{""type"":""BBreak"",""n"":24,""k"":1.23,""h"":4}",False,BBreak_n24_k1.23_h4,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=38, exp=0.49)"
29,seed,"{""type"":""BBreak"",""n"":30,""k"":1.50,""h"":4}",False,BBreak_n30_k1.5_h4,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=30, exp=0.47)"
30,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":3}",False,BBreak_n20_k1.5_h3,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=42, exp=0.48)"
31,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":4}",False,BBreak_n25_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=38, exp=0.47)"
32,seed,"{""type"":""BBreak"",""n"":25,""k"":1.20,""h"":4}",False,BBreak_n25_k1.2_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=36, exp=0.48)"
33,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":3}",False,BBreak_n20_k1.5_h3,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=42, exp=0.48)"
34,seed,"{""type"":""BBreak"",""n"":45,""k"":1.56,""h"":5}",False,BBreak_n45_k1.56_h5,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=24, exp=0.47)"
35,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":4}",False,BBreak_n25_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=38, exp=0.47)"
36,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=42, exp=0.48)"
37,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":3}",False,BBreak_n25_k1.5_h3,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=38, exp=0.47)"
38,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=42, exp=0.48)"
39,seed,"{""type"":""BBreak"",""n"":30,""k"":1.75,""h"":3}",False,BBreak_n30_k1.75_h3,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=28, exp=0.42)"
40,seed,"{""type"":""BBreak"",""n"":34,""k"":1.56,""h"":5}",False,BBreak_n34_k1.56_h5,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=30, exp=0.46)"
41,seed,"{""type"":""BBreak"",""n"":50,""k"":2.0,""h"":8}",False,BBreak_n50_k2.0_h8,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=18, exp=0.40)"
42,seed,"{""type"":""BBreak"",""n"":30,""k"":1.50,""h"":4}",False,BBreak_n30_k1.5_h4,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=30, exp=0.47)"
43,seed,"{""type"":""BBreak"",""n"":30,""k"":1.50,""h"":4}",False,BBreak_n30_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=30, exp=0.47)"
44,seed,"{""type"":""BBreak"",""n"":34,""k"":1.85,""h"":3}",False,BBreak_n34_k1.85_h3,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=24, exp=0.38)"
45,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=42, exp=0.48)"
46,seed,"{""type"":""BBreak"",""n"":25,""k"":1.50,""h"":4}",False,BBreak_n25_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=38, exp=0.47)"
47,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":3}",False,BBreak_n20_k1.5_h3,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=42, exp=0.48)"
48,seed,"{""type"":""BBreak"",""n"":34,""k"":1.98,""h"":4}",False,BBreak_n34_k1.98_h4,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=22, exp=0.28)"
49,seed,"{""type"":""BBreak"",""n"":25,""k"":1.20,""h"":4}",False,BBreak_n25_k1.2_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=36, exp=0.48)"
50,seed,"{""type"":""BBreak"",""n"":34,""k"":1.56,""h"":4}",False,BBreak_n34_k1.56_h4,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=30, exp=0.46)"
51,seed,"{""type"":""BBreak"",""n"":34,""k"":1.56,""h"":4}",False,BBreak_n34_k1.56_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=30, exp=0.46)"
52,seed,"{""type"":""BBreak"",""n"":34,""k"":1.85,""h"":5}",False,BBreak_n34_k1.85_h5,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=24, exp=0.38)"
53,seed,"{""type"":""BBreak"",""n"":34,""k"":1.75,""h"":4}",False,BBreak_n34_k1.75_h4,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=24, exp=0.38)"
54,seed,"{""type"":""BBreak"",""n"":34,""k"":1.89,""h"":5}",False,BBreak_n34_k1.89_h5,-1000000000.0,,,,,,,0.055,"few trades/exposure (trades=24, exp=0.35)"
55,seed,"{""type"":""BBreak"",""n"":37,""k"":1.85,""h"":3}",False,BBreak_n37_k1.85_h3,-1000000000.0,,,,,,,0.054,"few trades/exposure (trades=24, exp=0.37)"
56,seed,"{""type"":""BBreak"",""n"":20,""k"":1.50,""h"":4}",False,BBreak_n20_k1.5_h4,-1000000000.0,,,,,,,0.056,"few trades/exposure (trades=42, exp=0.48)"
