name,origin,fitness,trainR,testR,sharpe,mdd,trades,exposure
RSIMR_n5_os38_ob64_h4,mut,-0.39077643947460317,0.13956598440000015,-0.05134155189999976,-0.3103985212615501,-0.10941428452610635,13,0.5219123505976095
RSIMR_n5_os37_ob69_h1,mut,-0.4682806972541068,-0.04356099372500001,-0.06382239959999991,-0.36300772267106624,-0.14672354956608125,12,0.5378486055776892
RSIMR_n6_os36_ob69_h3,mut,-0.4709584380567375,0.11640253550000024,-0.06726430265000018,-0.3696663263548489,-0.13531992075377697,11,0.5936254980079682
RSIMR_n8_os30_ob71_h2,mut,-0.47368838539615576,0.08029843025000039,-0.06333624254999988,-0.3680373324069263,-0.14796586342845897,8,0.545816733067729
RSIMR_n7_os36_ob65_h3,mut,-0.4894643608402175,0.04067975900000005,-0.06884742644999962,-0.3819152684745951,-0.14625075828124512,9,0.5976095617529881
RSIMR_n7_os30_ob65_h2,mut,-0.541989520708565,0.034009218400000096,-0.07849554844999991,-0.43434257494277384,-0.13679834308158223,8,0.5776892430278885
RSIMR_n7_os38_ob64_h2,mut,-0.5533439109804383,-0.04698934722499995,-0.07454361804999964,-0.44367260741226866,-0.1447989890863396,11,0.545816733067729
RSIMR_n5_os31_ob67_h1,mut,-0.5886424885510242,-0.08891209705000015,-0.08465783454999996,-0.48249266619137327,-0.12764181016930198,15,0.5577689243027888
RSIMR_n7_os39_ob60_h3,mut,-0.8446370289974858,-0.004384562875000265,-0.11673523762499986,-0.705567860406001,-0.16140309955796972,11,0.5816733067729084
RSIMR_n5_os37_ob69_h5,mut,-0.870899815450813,0.0322954445250002,-0.1285609814999999,-0.7313817362350318,-0.15047517693156254,9,0.6254980079681275
RSIMR_n7_os32_ob67_h1,mut,-0.5250435725134228,0.009330912449999887,-0.07323170214999976,-0.416061260719246,-0.14473292143835403,9,0.5298804780876494
RSIMR_n4_os28_ob70_h2,mut,-2.3616954891668174,0.37592984670000007,-0.2878267500999999,-2.070325388266818,-0.29491345169999983,14,0.6095617529880478
RSIMR_n3_os40_ob68_h2,mut,-0.9035672699432369,0.023530238099999407,-0.12615782984999985,-0.7576129639829978,-0.1657507820704781,20,0.6294820717131474
RSIMR_n5_os36_ob71_h1,mut,-0.18784644821523339,0.024328785100000097,-0.01896965415000028,-0.1015680952152332,-0.1535870518500001,12,0.5219123505976095
RSIMR_n7_os39_ob62_h1,mut,-0.5884785261268066,-0.04122826685000007,-0.08023459737499987,-0.47600751315502327,-0.14470742856856678,12,0.549800796812749
RSIMR_n8_os34_ob65_h3,mut,-1.0187236490093672,0.06099792659999977,-0.13419140029999996,-0.8685313518698815,-0.1661931939789716,8,0.5059760956175299
RSIMR_n7_os34_ob70_h3,mut,-0.5954494260156447,0.042831061399999454,-0.08535343034999969,-0.48040625012146787,-0.14473292143835403,9,0.5776892430278885
RSIMR_n5_os30_ob65_h1,mut,-0.611121518299746,-0.10683114685000052,-0.08568294860000009,-0.5102903079484379,-0.11597947210261628,16,0.47808764940239046
RSIMR_n7_os29_ob66_h2,mut,-0.49319440914350415,0.031290348499999815,-0.06941143059999944,-0.38999319400203564,-0.1369909996829376,8,0.5258964143426295
RSIMR_n7_os36_ob67_h1,mut,-0.5684614356369115,0.02195193070000008,-0.07889147514999975,-0.45664923734273466,-0.14473292143835403,10,0.5418326693227091
RSIMR_n6_os33_ob61_h1,mut,-1.378138220484515,-0.10800477800000008,-0.16617768919999928,-1.186567347683745,-0.21696405640154082,14,0.4860557768924303
RSIMR_n4_os37_ob66_h2,mut,-1.0753555477826566,0.3345688573499999,-0.14567264589999993,-0.9044265894504881,-0.19618527076433712,19,0.6215139442231076
RSIMR_n5_os38_ob69_h3,mut,-0.6177628905303277,0.10155399997500048,-0.08714699395000004,-0.5008276187722871,-0.14672354956608125,11,0.5577689243027888
RSIMR_n5_os26_ob65_h2,mut,-0.6306547529224202,-0.12936428550000026,-0.08503376015000016,-0.5298000845214246,-0.11667557665199124,16,0.4581673306772908
RSIMR_n7_os33_ob64_h2,mut,-0.8131077064503088,-0.016720269349999727,-0.11302328637499988,-0.6835994541279462,-0.14599321826972544,10,0.5537848605577689
RSIMR_n2_os32_ob67_h2,mut,-2.1232431946437544,0.177770093450001,-0.26183420254999973,-1.8442147263437547,-0.2962227340499999,18,0.7330677290836654
RSIMR_n5_os40_ob68_h2,mut,-0.5901027910700335,0.06348846770000047,-0.08240325240000006,-0.4755393900869928,-0.14672354956608125,12,0.5378486055776892
RSIMR_n7_os38_ob66_h2,mut,-0.35191652274743074,0.005814339825000352,-0.04499709744999986,-0.25718525720191754,-0.1444654336410266,10,0.5179282868525896
RSIMR_n3_os35_ob70_h3,mut,-1.1395040737523272,0.30352848782499975,-0.1627068137000002,-0.9709134126410643,-0.17447450852252555,17,0.6932270916334662
RSIMR_n8_os30_ob71_h3,mut,-0.47368838539615576,0.08029843025000039,-0.06333624254999988,-0.3680373324069263,-0.14796586342845897,8,0.545816733067729
RSIMR_n2_os34_ob62_h1,mut,-1.3837337867770905,0.3074013255500003,-0.17042519299999956,-1.194399294927091,-0.20824379069999976,22,0.6414342629482072
RSIMR_n3_os36_ob59_h6,mut,-1.659686908942121,0.25061378297499876,-0.2197209122999999,-1.436081574642121,-0.2274897562999999,16,0.7250996015936255
RSIMR_n4_os33_ob71_h1,mut,-1.8242145526598328,0.3666592133999994,-0.2421580352500004,-1.5782857858098323,-0.2496994984500004,15,0.6693227091633466
RSIMR_n8_os34_ob68_h1,mut,-1.0484659085708707,0.06418709834999958,-0.13729355185000008,-0.8952322308824224,-0.16917380352689637,8,0.4900398406374502
RSIMR_n4_os40_ob69_h5,mut,-1.353669495687664,0.20549570742500026,-0.19959376540000012,-1.133319480237664,-0.24110626550000014,15,0.7529880478087649
RSIMR_n5_os29_ob76_h4,mut,-0.7113790537138038,0.055918252924999835,-0.10631276755000028,-0.5815866490138036,-0.1532720418500002,10,0.5856573705179283
RSIMR_n8_os40_ob64_h1,mut,-0.8662139365282615,0.12327659475000036,-0.11766263182499985,-0.7160842480595278,-0.18259674511246782,8,0.5099601593625498
RSIMR_n4_os31_ob67_h1,mut,-1.087975411992701,0.4031302641499994,-0.14585344875000025,-0.9167260754551377,-0.1966452243251261,18,0.601593625498008
RSIMR_n6_os40_ob66_h1,mut,-1.1137052649393127,0.08473527079999986,-0.14070110405,-0.9364754957215978,-0.21375843438542952,14,0.5139442231075697
RSIMR_n5_os40_ob69_h2,mut,-0.4490068366736045,0.06347002580000044,-0.060743936549999926,-0.34527309361556396,-0.14672354956608125,12,0.5338645418326693
