name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n7_k1.86_h6,BBreak,"{""n"": 7, ""k"": 1.86, ""h"": 6}",0.18838162304843187,0.45545183980156584,-0.16622834321373436,46,0.2830687830687831,0.13042116453092278,0.9746676377532404,-0.09606572622369114,26,0.48,-1000000000.0,0
BBreak_n14_k1.61_h5,BBreak,"{""n"": 14, ""k"": 1.61, ""h"": 5}",1.0049273035552946,1.337324913748616,-0.1375260779156694,32,0.39285714285714285,0.13930557877009453,1.0186536601816574,-0.10994702505207865,18,0.552,3.108288365459928,1
BBreak_n19_k1.41_h7,BBreak,"{""n"": 19, ""k"": 1.41, ""h"": 7}",0.7439124908862298,1.04989211692888,-0.21124815097240957,30,0.43386243386243384,0.13165736346287904,0.956846211548031,-0.11996710096678587,12,0.596,-1.6141864155195589,1
BBreak_n14_k1.79_h9,BBreak,"{""n"": 14, ""k"": 1.79, ""h"": 9}",0.8448039766582014,1.2111754426289374,-0.1543565951194359,30,0.3968253968253968,0.04845080567552751,0.4305771562159133,-0.14421788880924302,18,0.532,-5.676524358756687,1
BBreak_n12_k2.0_h7,BBreak,"{""n"": 12, ""k"": 2.0, ""h"": 7}",0.5667077327521859,0.9509948449267861,-0.14922294004692938,32,0.32275132275132273,0.011138848657663347,0.1552456447707599,-0.08341144205721196,12,0.316,-1000000000.0,0
BBreak_n8_k1.32_h12,BBreak,"{""n"": 8, ""k"": 1.32, ""h"": 12}",0.48907618832326283,0.6552237621395901,-0.29741919183262366,52,0.5674603174603174,0.3396014566409946,1.9210818806326293,-0.0956812278162108,22,0.66,3.876716068724825,1
BBreak_n5_k0.4_h6,BBreak,"{""n"": 5, ""k"": 0.4, ""h"": 6}",0.26344211101794124,0.4173185395081713,-0.2980579610420102,131,0.7037037037037037,0.20902575139792234,1.2489993152983772,-0.12897165766497753,40,0.656,-9.49089920092346,1
BBreak_n21_k1.77_h6,BBreak,"{""n"": 21, ""k"": 1.77, ""h"": 6}",0.47464822940228135,0.7712068841305605,-0.17886132916600117,28,0.40343915343915343,0.05340953657175396,0.4318829485265233,-0.16863966583926793,12,0.596,-11.133936506069304,1
BBreak_n13_k0.82_h2,BBreak,"{""n"": 13, ""k"": 0.82, ""h"": 2}",0.6303509375924019,0.885581933589138,-0.19053728128279324,58,0.47883597883597884,0.25489659183715196,1.6198917842632914,-0.08109396428177873,24,0.636,4.753261788462089,1
BBreak_n13_k0.68_h2,BBreak,"{""n"": 13, ""k"": 0.68, ""h"": 2}",0.5496695860983092,0.7992650850111956,-0.21465197153353377,66,0.5,0.25489659183715196,1.6198917842632914,-0.08109396428177873,24,0.636,3.3485630564627202,1
BBreak_n29_k1.87_h9,BBreak,"{""n"": 29, ""k"": 1.87, ""h"": 9}",0.5436881677839007,0.9153859758054356,-0.16339051227712087,20,0.376984126984127,0.2074166256951948,1.5573841501829424,-0.07452557748501953,3,0.516,-1000000000.0,0
BBreak_n3_k0.74_h5,BBreak,"{""n"": 3, ""k"": 0.74, ""h"": 5}",0.5574437641646239,0.6777151981040852,-0.27587073290848685,159,0.6626984126984127,0.2857962917804353,1.6838077228253245,-0.08774256762098709,51,0.672,-0.6942113783738166,1
BBreak_n18_k0.4_h3,BBreak,"{""n"": 18, ""k"": 0.4, ""h"": 3}",0.4754273651350258,0.7044790650614648,-0.18466248149998743,58,0.5370370370370371,0.22377171565281673,1.4423447944142127,-0.09460457299488123,22,0.64,1.0014201495380362,1
BBreak_n7_k1.42_h13,BBreak,"{""n"": 7, ""k"": 1.42, ""h"": 13}",0.2563999100097938,0.4191632891235,-0.3193638534110691,52,0.5912698412698413,0.1889166686851591,1.145505211866553,-0.13373903027541467,22,0.648,-8.628629090564585,1
