name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n7_k1.11_h2,BBreak,"{""n"": 7, ""k"": 1.11, ""h"": 2}",-0.2726730017060075,-0.5937914140258883,-0.30071905196228566,106,0.44841269841269843,0.1921205046260568,1.4708161697336106,-0.104617251237766,37,0.536,-13.074622878149647,1
BBreak_n19_k1.17_h9,BBreak,"{""n"": 19, ""k"": 1.17, ""h"": 9}",0.2609567610624246,0.562006236083034,-0.2215387887763265,38,0.5370370370370371,0.14118567797986237,1.0596818346848884,-0.10572750185758906,15,0.624,-5.518892680408598,1
BBreak_n9_k0.86_h3,BBreak,"{""n"": 9, ""k"": 0.86, ""h"": 3}",-0.13628707912436477,-0.204315608481875,-0.38745936689999316,102,0.503968253968254,0.13416534185549023,1.0505053842489558,-0.11662582522133669,35,0.58,-16.74965182671059,1
BBreak_n9_k1.19_h9,BBreak,"{""n"": 9, ""k"": 1.19, ""h"": 9}",-0.04741681134443421,0.004335887388614098,-0.4168867930177219,70,0.5767195767195767,0.28403891221110555,1.8482312973491415,-0.106656676656117,23,0.652,-7.479799772857255,1
BBreak_n6_k1.28_h6,BBreak,"{""n"": 6, ""k"": 1.28, ""h"": 6}",0.04617149329287673,0.17376748710390263,-0.27672745075625416,92,0.5476190476190477,0.2355120737497114,1.6671904092739938,-0.09974220849967341,33,0.6,-6.4299944741142445,1
BBreak_n18_k0.97_h5,BBreak,"{""n"": 18, ""k"": 0.97, ""h"": 5}",0.1878959284072752,0.44812069938900834,-0.16004748884173448,42,0.5251322751322751,0.21867553998682943,1.5689998899633066,-0.09100439199781296,17,0.624,-0.590718423487572,1
BBreak_n21_k1.5_h5,BBreak,"{""n"": 21, ""k"": 1.5, ""h"": 5}",0.06994405625684608,0.22841834904166608,-0.1895759760283382,38,0.4603174603174603,0.16619238932836633,1.3201972405529472,-0.06597320222835479,9,0.6,-1.9154563019395427,1
BBreak_n18_k1.58_h8,BBreak,"{""n"": 18, ""k"": 1.58, ""h"": 8}",0.2152777313594325,0.5006960616779049,-0.15790107609556436,38,0.48148148148148145,0.19510340866095888,1.4633167839489822,-0.0869215354256383,15,0.576,-0.7310962574931049,1
BBreak_n29_k0.4_h5,BBreak,"{""n"": 29, ""k"": 0.4, ""h"": 5}",0.11128081515786947,0.2990542148522138,-0.2547353675886507,34,0.5542328042328042,0.1798318914157282,1.4089442740904379,-0.10265534592452386,13,0.636,-5.427979135178488,1
BBreak_n17_k1.5_h6,BBreak,"{""n"": 17, ""k"": 1.5, ""h"": 6}",0.2005758014308101,0.4762680081694114,-0.171797856777975,40,0.4828042328042328,0.1788700569122732,1.3255964489443435,-0.09485376009563773,15,0.56,-2.5796071032623433,1
BBreak_n14_k1.54_h7,BBreak,"{""n"": 14, ""k"": 1.54, ""h"": 7}",0.21199777655977092,0.5098342410912556,-0.162753366719262,46,0.4576719576719577,0.2870095041413958,2.0627293622703364,-0.05329865783920695,15,0.552,5.888162064380024,1
BBreak_n14_k1.54_h5,BBreak,"{""n"": 14, ""k"": 1.54, ""h"": 5}",0.10489543812213276,0.30279680991468316,-0.20714386811129848,50,0.4470899470899471,0.2870095041413958,2.0627293622703364,-0.05329865783920695,15,0.552,3.8387571447635764,1
BBreak_n40_k0.45_h10,BBreak,"{""n"": 40, ""k"": 0.45, ""h"": 10}",0.3900582055917665,0.7866722056356782,-0.17986097915235777,22,0.5476190476190477,0.24492320934946576,1.7182586334905423,-0.13087750807566556,7,0.672,-1000000000.0,0
BBreak_n31_k0.4_h4,BBreak,"{""n"": 31, ""k"": 0.4, ""h"": 4}",0.037782495059302645,0.15757949525423987,-0.2832929327077355,36,0.5462962962962963,0.18224246002008848,1.4282440470657078,-0.10533364281559954,11,0.636,-6.705391781778886,1
BBreak_n21_k1.1_h3,BBreak,"{""n"": 21, ""k"": 1.1, ""h"": 3}",0.17865931920302414,0.4374923424526233,-0.18380716197729674,42,0.503968253968254,0.10091975720205548,0.8261754702870414,-0.11245644762813722,13,0.632,-7.8130589471865175,1
BBreak_n9_k1.37_h2,BBreak,"{""n"": 9, ""k"": 1.37, ""h"": 2}",-0.15887453888490022,-0.31525891520638333,-0.3051688833693087,86,0.42592592592592593,0.10685529478813716,0.932102935110319,-0.08497116011951522,29,0.484,-1000000000.0,0
BBreak_n12_k0.83_h6,BBreak,"{""n"": 12, ""k"": 0.83, ""h"": 6}",0.15081432643515935,0.3644355461750299,-0.23017482046421056,72,0.5568783068783069,0.32210108619457767,2.0414263171271685,-0.08004316612821849,21,0.692,2.274312794577371,1
BBreak_n18_k1.14_h1,BBreak,"{""n"": 18, ""k"": 1.14, ""h"": 1}",0.21652812091961038,0.5014557010955966,-0.1600474888417346,42,0.5211640211640212,0.18775707365589245,1.3917513713274234,-0.09742036814811683,17,0.612,-2.1855450581934015,1
BBreak_n14_k1.62_h8,BBreak,"{""n"": 14, ""k"": 1.62, ""h"": 8}",0.19491889162429166,0.48222202026162236,-0.17426157847666746,44,0.45105820105820105,0.2678160825954392,1.9292157684431683,-0.06741699797558232,15,0.556,3.5022535984831773,1
BBreak_n15_k1.29_h4,BBreak,"{""n"": 15, ""k"": 1.29, ""h"": 4}",0.11270773397305112,0.30758005406922534,-0.21408630104338966,50,0.5013227513227513,0.26435997717031445,1.8332654116086755,-0.07065992649202768,17,0.596,1.1165343618636023,1
