name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n12_k0.53_h6,BBreak,"{""n"": 12, ""k"": 0.53, ""h"": 6}",0.029776513059454057,0.1399218590884334,-0.22095686667242387,74,0.5833333333333334,0.05997378650487284,0.6600600153289015,-0.08204632784146715,23,0.668,-10.755628977429978,1
BBreak_n20_k0.79_h3,BBreak,"{""n"": 20, ""k"": 0.79, ""h"": 3}",0.24037594125707362,0.6304650707898455,-0.1296127355951988,48,0.548941798941799,0.03132603081696317,0.4089587380331152,-0.08574427677178587,15,0.548,-7.311704457781375,1
BBreak_n39_k0.61_h8,BBreak,"{""n"": 39, ""k"": 0.61, ""h"": 8}",0.2219889520497511,0.5938433715339605,-0.11899341625212767,34,0.5833333333333334,0.16170458696536505,2.0246454501378564,-0.034369593408410615,5,0.504,-1000000000.0,0
BBreak_n7_k0.54_h5,BBreak,"{""n"": 7, ""k"": 0.54, ""h"": 5}",-0.3392518736407988,-0.7341401626774822,-0.35831213895161473,119,0.6203703703703703,0.046759589630021026,0.5030492416682387,-0.10389012214673632,41,0.644,-21.978605970808886,1
BBreak_n19_k1.16_h2,BBreak,"{""n"": 19, ""k"": 1.16, ""h"": 2}",0.0494846457471958,0.19553007470173592,-0.12637576637167136,46,0.5132275132275133,0.034977243735075936,0.45250669140699334,-0.07922242195943041,15,0.536,-8.515647752633168,1
BBreak_n40_k0.76_h10,BBreak,"{""n"": 40, ""k"": 0.76, ""h"": 10}",0.21882783119643512,0.5941573139853507,-0.1332832885128089,30,0.5687830687830688,0.16726234474709978,2.084803726030705,-0.029749882023322072,5,0.504,-1000000000.0,0
BBreak_n31_k0.79_h6,BBreak,"{""n"": 31, ""k"": 0.79, ""h"": 6}",0.16208700584481006,0.45248753441838785,-0.12128925920607869,34,0.5687830687830688,0.1057114865938058,1.2855378029713573,-0.056346170934603035,9,0.524,-1.2111157673229,1
BBreak_n5_k1.49_h4,BBreak,"{""n"": 5, ""k"": 1.49, ""h"": 4}",-0.044805437789786295,-0.06561794607241875,-0.177122893522777,106,0.4166666666666667,0.05465472756478351,0.7289309762958565,-0.057329714608351345,32,0.384,-1000000000.0,0
BBreak_n32_k0.94_h4,BBreak,"{""n"": 32, ""k"": 0.94, ""h"": 4}",0.1469961144983818,0.42268196469168645,-0.12128925920607936,36,0.5515873015873016,0.11368220963287201,1.4566839315618985,-0.05818007699483674,9,0.48,-1000000000.0,0
BBreak_n18_k1.74_h7,BBreak,"{""n"": 18, ""k"": 1.74, ""h"": 7}",-0.11283383560484805,-0.2959555232082488,-0.21143514227530402,40,0.42724867724867727,0.07019833076809445,1.0507839940597699,-0.054575667277319106,9,0.424,-1000000000.0,0
